Ort;Plz;Bundesland
Alt Mölln;23881;SH
Alt Necheln;19412;MV
Alt Poorstorf;23992;MV
Alt Rehse;17217;MV
Alt Ruppin;16827;BB
Alt Schönau;17192;MV
Alt Schwerin;17214;MV
Alt Stahnsdorf;15859;BB
Alt Tellin;17129;MV
Alt Tucheband;15328;BB
Alt Zachun;19230;MV
Alt Zauche;15913;BB
Altbach;73776;BW
Altbarnim;15320;BB
Altbrand;76726;RP
Altbrandsleben;39387;ST
Altdöbern;3229;BB
Altdorf;67482;RP
Altdorf;71155;BW
Altdorf;72655;BW
Altdorf;84032;BY
Altdorf;90518;BY
Altefähr;18573;MV
Alteglofsheim;93087;BY
Altena;58762;NW
Altenahr;53505;RP
Altenau;4931;BB
Altenau;38707;NI
Altenbach;4828;SN
Altenbamberg;55585;RP
Altenbeken;33184;NW
Altenberg;1773;SN
Altenberga;7768;TH
Altenberge;48341;NW
Altenbeuthen;7338;TH
Altenbrak;38889;ST
Altenbuch;97901;BY
Altenburg;4600;TH
Altendambach;98553;TH
Altendiez;65624;RP
Altendorf;1855;SN
Altendorf;92540;BY
Altendorf;96146;BY
Altenfeld;98701;TH
Altengesees;7356;TH
Altenglan;66885;RP
Altengottern;99991;TH
Altenhagen;17091;MV
Altenhagen;18236;MV
Altenhausen;39343;ST
Altenhof;16244;BB
Altenhof;17209;MV
Altenhof;24340;SH
Altenhof;54636;RP
Altenhof;54655;RP
Altenhof;67677;RP
Altenholz;24161;SH
Altenkirchen;18556;MV
Altenkirchen;57610;RP
Altenkirchen;66903;RP
Altenkrempe;23730;SH
Altenkunstadt;96264;BY
Altenmarkt;83352;BY
Altenmedingen;29575;NI
Altenmoor;25335;SH
Altenmünster;86450;BY
Altenpleen;18445;MV
Altenriet;72657;BW
Altenroda;6642;ST
Altensalzwedel;29416;ST
Altenstadt;63674;HE
Altenstadt;86972;BY
Altenstadt;89281;BY
Altenstadt;92665;BY
Altensteig;72213;BW
Altenthann;93177;BY
Altentreptow;17087;MV
Altenweddingen;39171;ST
Altenzaun;39596;ST
Alterkülz;56288;RP
Alterode;6543;ST
Altersbach;98587;TH
Altertheim;97237;BY
Altes Forsthaus;56130;RP
Altes Lager;14913;BB
Altfraunhofen;84169;BY
Altfriedland;15320;BB
Altfriesack;16818;BB
Alt-Galow;16278;BB
Altgersdorf;16259;BB
Altglietzen;16259;BB
Althegnenberg;82278;BY
Altheim;88499;BW
Altheim;89174;BW
Altheim;89605;BW
Altheimersberg;91788;BY
Althengstett;75382;BW
Althornbach;66484;RP
Althütte;71566;BW
Althüttendorf;16247;BB
Altjeßnitz;6800;ST
Altkalen;17179;MV
Altkirchen;4626;TH
Altkünkendorf;16278;BB
Altlandsberg;15345;BB
Altlay;56858;RP
Altleiningen;67317;RP
Altlewin;16259;BB
Altlüdersdorf;16775;BB
Altlußheim;68804;BW
Altmachern;54492;RP
Altmädewitz;16259;BB
Altmannstein;93336;BY
Altmersleben;39624;ST
Altmittweida;9648;SN
Altomünster;85250;BY
Altona;19294;MV
Altottenhain;4643;SN
Altötting;84503;BY
Altreetz;16259;BB
Altrich;54518;RP
Altrip;67122;RP
Alt-Schadow;15910;BB
Altscheid;54636;RP
Altshausen;88361;BW
Altstrimmig;56858;RP
Alt-Sührkow;17166;MV
Altthymen;16798;BB
Alttrebbin;16259;BB
Altusried;87452;BY
Altwarp;17375;MV
Altweidelbach;55469;RP
Altwigshagen;17379;MV
Altwittenbek;24214;SH
Altwustrow;16259;BB
Alveslohe;25486;SH
Alzenau;63755;BY
Alzey;55232;RP
Am Jägerberg;21227;NI
Am Quicken;82493;BY
Am Rainberge;34497;HE
Am Römerhof;61200;HE
Am Römerschacht;61200;HE
Am Rönndeich;21706;NI
Am Rüdesheimer Hafen;65385;HE
Am Sandkopf;34127;HE
Am Sandweiher;66849;RP
Am Springberg;76889;RP
Am Tekenberge;38350;NI
Amalienfelde;16766;BB
Amberg;86854;BY
Amberg;92224;BY
Amelinghausen;21385;NI
Amerang;83123;BY
Amerdingen;86735;BY
Amesdorf;39439;ST
Ammeldingen;54673;RP
Ammeldingen;54675;RP
Ammelstädt;7407;TH
Ammerbuch;72119;BW
Ammern;99974;TH
Ammerndorf;90614;BY
Ammersbek;22949;SH
Ammerthal;92260;BY
Amöneburg;35287;HE
Amorbach;63916;BY
Ampfing;84539;BY
Ampfurth;39387;ST
Amsdorf;6317;ST
Amselgraben;83329;BY
Amstetten;73340;BW
Amtsberg;9439;SN
Amtzell;88279;BW
An der Chaussee;25840;SH
An der Rhumequelle;37434;NI
Andechs;82346;BY
Andenhausen;36452;TH
Anderbeck;38836;ST
Anderlingen;27446;NI
Andernach;56626;RP
Andervenne;49832;NI
Andisleben;99189;TH
Andrichstadt;83364;BY
Angelbachtal;74918;BW
Angelburg;35719;HE
Angelhof I u. II;67346;RP
Angelroda;99338;TH
Anger;83454;BY
Anger;83565;BY
Angermünde;16278;BB
Angern;39326;ST
Angersdorf;6179;ST
Angl;83739;BY
Anhausen;56584;RP
Ankermühle;37308;TH
Ankershagen;17219;MV
Anklam;17389;MV
Ankum;49577;NI
Anna Luisenhof;18239;MV
Annaberg;67098;RP
Annaberg-Buchholz;9456;SN
Annaburg;6925;ST
Annahütte;1994;BB
Annarode;6308;ST
Anning;83368;BY
Annweiler;76855;RP
Anröchte;59609;NW
Ansbach;91522;BY
Anschau;56729;RP
Antdorf;82387;BY
Antrifttal;36326;HE
Antweiler;53533;RP
Anzing;85646;BY
Apelern;31552;NI
Apen;26689;NI
Apenburg;38486;ST
Apensen;21641;NI
Apfeldorf;86974;BY
Apfelstädt;99192;TH
Apfeltrach;87742;BY
Apolda;99510;TH
Appel;21279;NI
Appelbeck;21279;NI
Appeln;27616;NI
Appen;25482;SH
Appenheim;55437;RP
Appenrode;99768;TH
Appensee;74597;BW
Appenweier;77767;BW
Apperting;83376;BY
Arbach;56769;RP
Arberg;91722;BY
Aremberg;53533;RP
Arendsee;17291;BB
Arendsee;39619;ST
Arenrath;54518;RP
Arensdorf;6369;ST
Arensdorf;15518;BB
Arenshausen;37318;TH
Arensnest;14827;BB
Arenzhain;3253;BB
Aresing;86561;BY
Arft;56729;RP
Argenbühl;88260;BW
Argenschwang;55595;RP
Argenthal;55496;RP
Arholzen;37627;NI
Arkebek;25767;SH
Arleting;83374;BY
Arlewatt;25860;SH
Armsheim;55288;RP
Armstedt;24616;SH
Armstorf;21769;NI
Arnbruck;93471;BY
Arneburg;39596;ST
Arnis;24399;SH
Arnsau;53547;RP
Arnsbach;7330;TH
Arnsberg;59755;NW
Arnsberg;59757;NW
Arnsberg;59759;NW
Arnsberg;59821;NW
Arnsberg;59823;NW
Arnschwang;93473;BY
Arnsdorf;1477;SN
Arnsdorf;6917;ST
Arnsgereuth;7318;TH
Arnsgrün;7952;TH
Arnshöfen;56244;RP
Arnsnesta;4916;BB
Arnstadt;99310;TH
Arnstedt;6333;ST
Arnstein;56379;RP
Arnstein;97450;BY
Arnstorf;94424;BY
Arpsdorf;24634;SH
Arpshagen;23948;MV
Arrach;93474;BY
Arras;9326;SN
Artamhof;66849;RP
Artern;6556;TH
Artlenburg;21380;NI
Arzbach;56337;RP
Arzberg;4886;SN
Arzberg;95659;BY
Arzfeld;54687;RP
Asbach;53567;RP
Asbach;55758;RP
Asbach;89522;BW
Asbach;98574;TH
Asbach-Bäumenheim;86663;BY
Asbacherhütte;55758;RP
Asbach-Sickenberg;37318;TH
Ascha;94347;BY
Aschaffenburg;63739;BY
Aschaffenburg;63741;BY
Aschaffenburg;63743;BY
Aschara;99958;TH
Aschau;7426;TH
Aschau;83229;BY
Aschau;84544;BY
Aschbach;67753;RP
Aschbach;83739;BY
Ascheberg;24326;SH
Ascheberg;59387;NW
Ascheffel;24358;SH
Aschendorf;26871;NI
Aschenhausen;98634;TH
Aschenhütte;37412;NI
Aschersleben;6449;ST
Aschheim;85609;BY
Aseleben;6317;ST
Asendorf;21271;NI
Asendorf;27330;NI
Aspach;71546;BW
Aspach;99880;TH
Aspelhorn;21388;NI
Aspenstedt;38822;ST
Asperg;71679;BW
Aspisheim;55459;RP
Assamstadt;97959;BW
Asselfingen;89176;BW
Aßlar;35614;HE
Aßling;85617;BY
Ast;83565;BY
Ast;93449;BY
Astert;57627;RP
Ateritz;6901;ST
Athenstedt;38822;ST
Attendorn;57439;NW
Attenhausen;56370;RP
Attenhofen;84091;BY
Attenkirchen;85395;BY
Attenweiler;88448;BW
Atterwasch;3172;BB
Atting;94348;BY
Atzelgift;57629;RP
Atzendorf;39443;ST
Atzlbach;83364;BY
Au;76474;BW
Au;79280;BW
Au;83364;BY
Au;83546;BY
Au;84072;BY
Aub;97239;BY
Aubstadt;97633;BY
Audenhain;4838;SN
Auderath;56766;RP
Aue;8280;SN
Aue a Berg;7318;TH
Auel;56357;RP
Auen;55569;RP
Auenwald;71549;BW
Auerbach;8209;SN
Auerbach;9392;SN
Auerbach;91275;BY
Auerbach;94530;BY
Auerberg;95703;BY
Auerstedt;99518;TH
Auetal;31749;NI
Aufhausen;93089;BY
Aufkirchen;82282;BY
Aufseß;91347;BY
Auggen;79424;BW
Augsburg;86150;BY
Augsburg;86152;BY
Augsburg;86153;BY
Augsburg;86154;BY
Augsburg;86156;BY
Augsburg;86157;BY
Augsburg;86159;BY
Augsburg;86161;BY
Augsburg;86163;BY
Augsburg;86165;BY
Augsburg;86167;BY
Augsburg;86169;BY
Augsburg;86179;BY
Augsburg;86199;BY
Augsdorf;6308;ST
Augustdorf;32832;NW
Augustusburg;9573;SN
Auhagen;31553;NI
Auhausen;86736;BY
Auhof;74564;BW
Aukrug;24613;SH
Auleben;99765;TH
Aulendorf;88326;BW
Aull;65582;RP
Aulosen;39615;ST
Auma;7955;TH
Aumühle;21521;SH
Aura;97717;BY
Aura;97773;BY
Aurach;91589;BY
Aurachtal;91086;BY
Aurich;26603;NI
Aurich;26605;NI
Aurich;26607;NI
Ausacker;24975;SH
Ausleben;39393;ST
Außernzell;94532;BY
Authausen;4849;SN
Auufer;25548;SH
Auw;54597;RP
Auw;54664;RP
Auwies;94568;BY
Aventoft;25927;SH
Averlak;25715;SH
Axien;6922;ST
Axstedt;27729;NI
Aying;85653;BY
Ayl;54441;RP
Aystetten;86482;BY
Azmannsdorf;99198;TH
Baabe;18586;MV
Baalberge;6408;ST
Baar;56729;RP
Baar;86674;BY
Baar-Ebenhausen;85107;BY
Baarz;19309;BB
Baasdorf;6388;ST
Babben;3246;BB
Bäbelin;23992;MV
Baben;39596;ST
Babenhausen;64832;HE
Babenhausen;87727;BY
Babensham;83547;BY
Babke;17237;MV
Babst;23992;MV
Bach;4828;SN
Bach;83364;BY
Bach;83739;BY
Bach;93090;BY
Bacharach;55422;RP
Bachenberg;57610;RP
Bachfeld;96528;TH
Bachhagel;89429;BY
Bächingen;89431;BY
Bachzelten;84428;BY
Backnang;71522;BW
Bad Abbach;93077;BY
Bad Aibling;83043;BY
Bad Alexandersbad;95680;BY
Bad Arolsen;34454;HE
Bad Bayersoien;82435;BY
Bad Bederkesa;27624;NI
Bad Bellingen;79415;BW
Bad Bentheim;48455;NI
Bad Bergzabern;76887;RP
Bad Berka;99438;TH
Bad Berleburg;57319;NW
Bad Berneck;95460;BY
Bad Bertrich;56864;RP
Bad Bevensen;29549;NI
Bad Bibra;6647;ST
Bad Birnbach;84364;BY
Bad Blankenburg;7422;TH
Bad Bocklet;97708;BY
Bad Bodenteich;29389;NI
Bad Brambach;8648;SN
Bad Bramstedt;24576;SH
Bad Breisig;53498;RP
Bad Brückenau;97769;BY
Bad Buchau;88422;BW
Bad Camberg;65520;HE
Bad Colberg-Heldburg;98663;TH
Bad Ditzenbach;73342;BW
Bad Doberan;18209;MV
Bad Driburg;33014;NW
Bad Düben;4849;SN
Bad Dürkheim;67098;RP
Bad Dürrenberg;6231;ST
Bad Dürrheim;78073;BW
Bad Eilsen;31707;NI
Bad Elster;8645;SN
Bad Ems;56130;RP
Bad Emstal;34308;HE
Bad Endbach;35080;HE
Bad Endorf;83093;BY
Bad Essen;49152;NI
Bad Feilnbach;83075;BY
Bad Frankenhausen;6567;TH
Bad Freienwalde;16259;BB
Bad Friedrichshall;74177;BW
Bad Füssing;94072;BY
Bad Gandersheim;37581;NI
Bad Gottleuba;1816;SN
Bad Griesbach;94086;BY
Bad Grönenbach;87730;BY
Bad Grund;37539;NI
Bad Harzburg;38667;NI
Bad Heilbrunn;83670;BY
Bad Herrenalb;76332;BW
Bad Hersfeld;36251;HE
Bad Homburg;61348;HE
Bad Homburg;61350;HE
Bad Homburg;61352;HE
Bad Honnef;53604;NW
Bad Hönningen;53557;RP
Bad Iburg;49186;NI
Bad Karlshafen;34385;HE
Bad Kissingen;97688;BY
Bad Kleinen;23996;MV
Bad Klosterlausnitz;7639;TH
Bad Kohlgrub;82433;BY
Bad König;64732;HE
Bad Königshofen;97631;BY
Bad Kösen;6628;ST
Bad Köstritz;7586;TH
Bad Kreuznach;55543;RP
Bad Kreuznach;55545;RP
Bad Krozingen;79189;BW
Bad Laasphe;57334;NW
Bad Laer;49196;NI
Bad Langensalza;99947;TH
Bad Lauchstädt;6246;ST
Bad Lausick;4651;SN
Bad Lauterberg;37431;NI
Bad Liebenstein;36448;TH
Bad Liebenwerda;4924;BB
Bad Liebenzell;75378;BW
Bad Lippspringe;33175;NW
Bad Marienberg;56470;RP
Bad Mergentheim;97980;BW
Bad Münder;31848;NI
Bad Münster-Ebernburg;55583;RP
Bad Münstereifel;53902;NW
Bad Muskau;2953;SN
Bad Nauheim;61231;HE
Bad Nenndorf;31542;NI
Bad Neuenahr-Ahrweiler;53474;RP
Bad Neustadt;97616;BY
Bad Oeynhausen;32545;NW
Bad Oeynhausen;32547;NW
Bad Oeynhausen;32549;NW
Bad Oldesloe;23843;SH
Bad Orb;63619;HE
Bad Peterstal-Griesbach;77740;BW
Bad Pyrmont;31812;NI
Bad Rappenau;74906;BW
Bad Reichenhall;83435;BY
Bad Rippoldsau-Schapbach;77776;BW
Bad Rodach;96476;BY
Bad Rothenfelde;49214;NI
Bad Saarow-Pieskow;15526;BB
Bad Sachsa;37441;NI
Bad Säckingen;79713;BW
Bad Salzdetfurth;31162;NI
Bad Salzschlirf;36364;HE
Bad Salzuflen;32105;NW
Bad Salzuflen;32107;NW
Bad Salzuflen;32108;NW
Bad Salzungen;36433;TH
Bad Sassendorf;59505;NW
Bad Saulgau;88348;BW
Bad Schandau;1814;SN
Bad Schmiedeberg;6905;ST
Bad Schönborn;76669;BW
Bad Schussenried;88427;BW
Bad Schwalbach;65307;HE
Bad Schwartau;23611;SH
Bad Segeberg;23795;SH
Bad Sobernheim;55566;RP
Bad Soden;65812;HE
Bad Soden-Salmünster;63628;HE
Bad Sooden-Allendorf;37242;HE
Bad Staffelstein;96231;BY
Bad Steben;95138;BY
Bad Suderode;6507;ST
Bad Sulza;99518;TH
Bad Sülze;18334;MV
Bad Teinach-Zavelstein;75385;BW
Bad Tennstedt;99955;TH
Bad Tölz;83646;BY
Bad Überkingen;73337;BW
Bad Urach;72574;BW
Bad Vilbel;61118;HE
Bad Waldsee;88339;BW
Bad Wiessee;83707;BY
Bad Wildbad;75323;BW
Bad Wildungen;34537;HE
Bad Wilsnack;19336;BB
Bad Wimpfen;74206;BW
Bad Windsheim;91438;BY
Bad Wörishofen;86825;BY
Bad Wünnenberg;33181;NW
Bad Wurzach;88410;BW
Bad Zwesten;34596;HE
Bad Zwischenahn;26160;NI
Badbergen;49635;NI
Baddeckenstedt;38271;NI
Badeborn;6493;ST
Badekow;19258;MV
Badel;39624;ST
Badem;54657;RP
Baden-Baden;76530;BW
Baden-Baden;76532;BW
Baden-Baden;76534;BW
Badendorf;23619;SH
Badenhard;56291;RP
Badenhausen;37534;NI
Badenheim;55576;RP
Badenmühle;18209;MV
Badenweiler;79410;BW
Badersleben;38836;ST
Badingen;16775;BB
Badingen;39579;ST
Badisch Schöllenbach;64754;BW
Badow;19209;MV
Badra;99706;TH
Baek;19348;BB
Baesweiler;52499;NW
Bagemühl;17326;BB
Bagenz;3130;BB
Bagow;14778;BB
Bahlenhüschen;19089;MV
Bahlingen;79353;BW
Bahnhof Zimmernsupra-Töttelstädt;99100;TH
Bahnitz;14715;BB
Bahnsdorf;1983;BB
Bahnsdorf;4895;BB
Bahnstock;88441;BW
Bahratal;1816;SN
Bahrdorf;38459;NI
Bahren;3249;BB
Bahrenborstel;27245;NI
Bahrendorf;39171;ST
Bahrenfleth;25569;SH
Bahrenhof;23845;SH
Bahrenhorst;18211;MV
Bahretal;1819;SN
Bahro;15898;BB
Baienfurt;88255;BW
Baierbach;84171;BY
Baierbrunn;82065;BY
Baierhof;73079;BW
Baiern;85625;BY
Baiersbronn;72270;BW
Baiersdorf;91083;BY
Baindt;88255;BW
Baisweil;87650;BY
Baitz;14806;BB
Bäk;23909;SH
Bakum;49456;NI
Bälau;23881;SH
Balderschwang;87538;BY
Baldham;85598;BY
Baldringen;54314;RP
Balduinstein;65558;RP
Balesfeld;54597;RP
Balge;31609;NI
Balgheim;78582;BW
Balgstädt;6632;ST
Balingen;72336;BW
Balje;21730;NI
Balkenkoppel;18320;MV
Ballendorf;89177;BW
Ballenstedt;6493;ST
Ballerstedt;39606;ST
Ballhausen;99955;TH
Ballrechten-Dottingen;79282;BW
Ballstädt;99869;TH
Ballstedt;99439;TH
Balow;19300;MV
Bälow;19322;BB
Baltmannsweiler;73666;BW
Baltrum;26579;NI
Balve;58802;NW
Balzhausen;86483;BY
Balzheim;88481;BW
Bamberg;96047;BY
Bamberg;96049;BY
Bamberg;96050;BY
Bamberg;96052;BY
Bamme;14715;BB
Bammental;69245;BW
Bandau;38486;ST
Bandekow;19249;MV
Bandekow;19273;MV
Bandelin;17506;MV
Bandenitz;19230;MV
Bandow;18258;MV
Bann;66851;RP
Bannberscheid;56424;RP
Bannesdorf;23769;SH
Bannewitz;1728;SN
Banteln;31029;NI
Bantikow;16868;BB
Bantin;19246;MV
Banzendorf;16835;BB
Banzenhof;54619;RP
Banzin;19260;MV
Banzkow;19079;MV
Barbelroth;76889;RP
Barbing;93092;BY
Barby;39249;ST
Barchfeld;36456;TH
Bardenitz;14913;BB
Bardowick;21357;NI
Bärenbach;55483;RP
Bärenbach;55758;RP
Bärenbach;73655;BW
Bärenbrunnerhof;66996;RP
Bärenbrunnermühle;66996;RP
Barenburg;27245;NI
Barendorf;21397;NI
Barendorf;23936;MV
Bärenhof;73529;BW
Bärenklau;3172;BB
Bärenklau;16727;BB
Bärenstein;1768;SN
Bärenstein;9471;SN
Bärenthal;78580;BW
Barenthin;16866;BB
Bargenstedt;25704;SH
Bargfeld-Stegen;23863;SH
Bargholz;25563;SH
Bargischow;17398;MV
Bargstall;24806;SH
Bargstedt;21698;NI
Bargstedt;24793;SH
Bargteheide;22941;SH
Bargum;25842;SH
Bark;23826;SH
Barkelsby;24360;SH
Barkenholm;25791;SH
Barkhorn;24863;SH
Barkow;19395;MV
Barleben;39179;ST
Barlt;25719;SH
Barmissen;24245;SH
Barmstedt;25355;SH
Bärnau;95671;BY
Barneberg;39393;ST
Barnekow;23968;MV
Barnewitz;14715;BB
Barnin;19089;MV
Barnitz;23858;SH
Bärnsdorf;1471;SN
Barnstädt;6268;ST
Barnstedt;21406;NI
Barnstorf;49406;NI
Barntrup;32683;NW
Barsbek;24217;SH
Barsbüttel;22885;SH
Barsdorf;16775;BB
Barsikow;16845;BB
Barsinghausen;30890;NI
Barßel;26676;NI
Bartelshagen II;18314;MV
Bartenshagen;18209;MV
Bartensleben;39343;ST
Barth;18356;MV
Bartholomä;73566;BW
Bartow;17089;MV
Barum;21357;NI
Barum;29576;NI
Baruth;15837;BB
Barver;49453;NI
Bärwalde;14913;BB
Barwedel;38476;NI
Barweiler;53534;RP
Bärweiler;55606;RP
Barzig;1994;BB
Basberg;54578;RP
Basdahl;27432;NI
Basdorf;16352;BB
Basdorf;16818;BB
Basedow;17139;MV
Basedow;21483;SH
Bassenheim;56220;RP
Bassum;27211;NI
Bastheim;97654;BY
Basthorst;21493;SH
Bastorf;18230;MV
Battaune;4838;SN
Battenberg;35088;HE
Battenberg;67271;RP
Battgendorf;99625;TH
Battin;6917;ST
Battinsthal;17328;MV
Battweiler;66484;RP
Batzlow;15377;BB
Bauda;1561;SN
Baudenbach;91460;BY
Bauerbach;98617;TH
Bauerkuhl;19372;MV
Bauler;53534;RP
Bauler;54673;RP
Baumersroda;6632;ST
Baumgarten;16775;BB
Baumgarten;18246;MV
Baumholder;55774;RP
Baunach;96148;BY
Baunatal;34225;HE
Bausendorf;54538;RP
Baustert;54636;RP
Bautzen;2625;SN
Bawinkel;49844;NI
Bayerbach;84092;BY
Bayerbach;94137;BY
Bayerfeld-Steckweiler;67808;RP
Bayerisch Eisenstein;94252;BY
Bayerisch Gmain;83457;BY
Bayreuth;95444;BY
Bayreuth;95445;BY
Bayreuth;95447;BY
Bayreuth;95448;BY
Bayrischzell;83735;BY
Bebendorf;37308;TH
Bebensee;23816;SH
Beberstedt;99976;TH
Bebertal;39343;ST
Beblinstetten;87770;BY
Bebra;36179;HE
Becheln;56132;RP
Bechelsdorf;23923;MV
Bechenheim;55234;RP
Becherbach;55608;RP
Becherbach;67827;RP
Bechhofen;66894;RP
Bechhofen;91572;BY
Bechstedt;7426;TH
Bechstedtstraß;99428;TH
Bechtheim;67595;RP
Bechtolsheim;55234;RP
